Date,max_temp,min_temp,precipitation,snow,snow_depth
2016-01-01,30,15,0.005,0.005,4.0
2016-01-02,31,14,0.0,0.0,4.0
2016-01-03,29,20,0.0,0.0,4.0
2016-01-04,26,10,0.0,0.0,4.0
2016-01-05,32,20,0.0,0.0,4.0
2016-01-06,33,23,0.05,0.4,4.0
2016-01-07,34,31,0.04,0.4,4.0
2016-01-08,34,22,0.08,1.2,5.0
2016-01-09,22,-6,0.005,0.005,5.0
2016-01-10,-1,-10,0.0,0.0,5.0
2016-01-11,6,-9,0.02,0.5,5.0
2016-01-12,3,-7,0.005,0.005,5.0
2016-01-13,23,-7,0.01,0.1,5.0
2016-01-14,26,16,0.0,0.0,5.0
2016-01-15,23,12,0.005,0.005,5.0
2016-01-16,13,-9,0.005,0.005,5.0
2016-01-17,-3,-14,0.0,0.0,5.0
2016-01-18,2,-13,0.0,0.0,5.0
2016-01-19,7,-7,0.005,0.005,5.0
2016-01-20,22,7,0.02,0.6,5.0
2016-01-21,24,20,0.005,0.005,5.0
2016-01-22,25,17,0.005,0.005,5.0
2016-01-23,23,18,0.0,0.0,5.0
2016-01-24,30,23,0.01,0.1,5.0
2016-01-25,30,27,0.05,0.6,5.0
2016-01-26,28,20,0.01,0.2,6.0
2016-01-27,40,15,0.005,0.005,5.0
2016-01-28,37,19,0.0,0.0,3.0
2016-01-29,34,18,0.01,0.0,3.0
2016-01-30,43,30,0.01,0.0,2.0
2016-01-31,41,27,0.0,0.0,1.0
2016-02-01,36,22,0.0,0.0,1.0
2016-02-02,30,24,0.51,8.8,1.0
2016-02-03,24,11,0.04,0.6,8.0
2016-02-04,27,8,0.03,0.3,7.0
2016-02-05,29,6,0.005,0.005,7.0
2016-02-06,36,25,0.005,0.0,6.0
2016-02-07,40,16,0.02,0.4,5.0
2016-02-08,17,11,0.005,0.005,2.0
2016-02-09,17,5,0.005,0.005,2.0
2016-02-10,13,3,0.0,0.0,2.0
2016-02-11,17,2,0.01,0.9,2.0
2016-02-12,15,0,0.0,0.0,2.0
2016-02-13,10,-6,0.0,0.0,2.0
2016-02-14,19,7,0.04,0.7,2.0
2016-02-15,32,18,0.0,0.0,3.0
2016-02-16,35,21,0.005,0.005,2.0
2016-02-17,29,14,0.0,0.0,2.0
2016-02-18,41,25,0.0,0.0,2.0
2016-02-19,45,35,0.37,0.0,1.0
2016-02-20,43,30,0.0,0.0,0.05
2016-02-21,37,26,0.005,0.005,0.05
2016-02-22,35,27,0.0,0.0,0.0
2016-02-23,40,33,0.04,0.3,0.0
2016-02-24,38,30,0.005,0.005,0.0
2016-02-25,35,26,0.0,0.0,0.0
2016-02-26,42,24,0.0,0.0,0.0
2016-02-27,58,34,0.0,0.0,0.0
2016-02-28,43,28,0.03,0.1,0.0
2016-02-29,39,19,0.0,0.0,0.0
2016-03-01,27,14,0.005,0.005,0.05
2016-03-02,32,13,0.0,0.0,0.0
2016-03-03,35,26,0.005,0.005,0.0
2016-03-04,37,29,0.05,0.4,0.0
2016-03-05,39,29,0.0,0.0,0.05
2016-03-06,60,29,0.0,0.0,0.0
2016-03-07,64,42,0.0,0.0,0.0
2016-03-08,70,40,0.0,0.0,0.0
2016-03-09,42,35,0.005,0.0,0.0
2016-03-10,49,33,0.0,0.0,0.0
2016-03-11,66,28,0.0,0.0,0.0
2016-03-12,70,49,0.0,0.0,0.0
2016-03-13,54,47,0.005,0.0,0.0
2016-03-14,58,48,0.01,0.0,0.0
2016-03-15,55,45,0.85,0.0,0.0
2016-03-16,49,40,0.05,0.0,0.0
2016-03-17,42,32,0.01,0.005,0.0
2016-03-18,37,30,0.005,0.005,0.0
2016-03-19,43,27,0.07,1.3,1.0
2016-03-20,43,26,0.0,0.0,0.0
2016-03-21,53,28,0.0,0.0,0.0
2016-03-22,55,33,0.0,0.0,0.0
2016-03-23,36,29,0.31,3.7,0.0
2016-03-24,47,28,0.0,0.0,3.0
2016-03-25,48,27,0.005,0.0,0.0
2016-03-26,51,39,0.12,0.0,0.0
2016-03-27,43,31,0.07,0.0,0.0
2016-03-28,59,28,0.0,0.0,0.0
2016-03-29,64,40,0.19,0.0,0.0
2016-03-30,48,43,0.4,0.0,0.0
2016-03-31,54,40,0.13,0.0,0.0
2016-04-01,41,32,0.02,0.0,0.0
2016-04-02,36,26,0.005,0.005,0.0
2016-04-03,68,29,0.0,0.0,0.0
2016-04-04,42,28,0.0,0.0,0.0
2016-04-05,37,28,0.07,0.0,0.0
2016-04-06,44,32,0.005,0.0,0.0
2016-04-07,43,33,0.04,0.005,0.0
2016-04-08,37,24,0.02,0.5,0.0
2016-04-09,43,20,0.0,0.0,0.0
2016-04-10,59,35,0.0,0.0,0.0
2016-04-11,44,31,0.0,0.0,0.0
2016-04-12,49,27,0.005,0.005,0.0
2016-04-13,71,41,0.005,0.0,0.0
2016-04-14,76,49,0.0,0.0,0.0
2016-04-15,77,48,0.0,0.0,0.0
2016-04-16,80,57,0.0,0.0,0.0
2016-04-17,79,58,0.0,0.0,0.0
2016-04-18,79,51,0.19,0.0,0.0
2016-04-19,59,48,0.08,0.0,0.0
2016-04-20,67,52,0.25,0.0,0.0
2016-04-21,66,50,0.32,0.0,0.0
2016-04-22,59,43,0.0,0.0,0.0
2016-04-23,71,43,0.005,0.0,0.0
2016-04-24,62,52,0.39,0.0,0.0
2016-04-25,55,44,0.53,0.0,0.0
2016-04-26,49,42,0.005,0.0,0.0
2016-04-27,53,40,0.28,0.0,0.0
2016-04-28,43,37,0.65,0.0,0.0
2016-04-29,60,34,0.0,0.0,0.0
2016-04-30,58,42,0.0,0.0,0.0
2016-05-01,63,41,0.0,0.0,0.0
2016-05-02,67,39,0.0,0.0,0.0
2016-05-03,73,48,0.0,0.0,0.0
2016-05-04,66,45,0.0,0.0,0.0
2016-05-05,79,45,0.005,0.0,0.0
2016-05-06,92,60,0.0,0.0,0.0
2016-05-07,70,51,0.0,0.0,0.0
2016-05-08,73,46,0.0,0.0,0.0
2016-05-09,68,53,0.33,0.0,0.0
2016-05-10,58,48,0.59,0.0,0.0
2016-05-11,56,49,0.15,0.0,0.0
2016-05-12,58,48,0.0,0.0,0.0
2016-05-13,50,39,0.18,0.0,0.0
2016-05-14,52,34,0.0,0.0,0.0
2016-05-15,65,34,0.0,0.0,0.0
2016-05-16,66,49,0.0,0.0,0.0
2016-05-17,65,46,0.0,0.0,0.0
2016-05-18,70,43,0.0,0.0,0.0
2016-05-19,74,50,0.0,0.0,0.0
2016-05-20,76,54,0.0,0.0,0.0
2016-05-21,80,53,0.0,0.0,0.0
2016-05-22,84,53,0.0,0.0,0.0
2016-05-23,84,66,0.005,0.0,0.0
2016-05-24,86,66,0.005,0.0,0.0
2016-05-25,76,66,0.33,0.0,0.0
2016-05-26,81,61,0.27,0.0,0.0
2016-05-27,70,63,0.24,0.0,0.0
2016-05-28,68,61,0.31,0.0,0.0
2016-05-29,79,62,0.005,0.0,0.0
2016-05-30,84,60,0.005,0.0,0.0
2016-05-31,73,63,0.02,0.0,0.0
2016-06-01,67,59,0.0,0.0,0.0
2016-06-02,75,56,0.0,0.0,0.0
2016-06-03,70,61,0.21,0.0,0.0
2016-06-04,74,58,0.06,0.0,0.0
2016-06-05,83,55,0.0,0.0,0.0
2016-06-06,71,56,0.01,0.0,0.0
2016-06-07,72,50,0.0,0.0,0.0
2016-06-08,79,54,0.02,0.0,0.0
2016-06-09,84,62,0.54,0.0,0.0
2016-06-10,91,69,0.005,0.0,0.0
2016-06-11,93,71,0.0,0.0,0.0
2016-06-12,78,61,0.99,0.0,0.0
2016-06-13,78,64,0.4,0.0,0.0
2016-06-14,74,64,1.49,0.0,0.0
2016-06-15,77,64,0.0,0.0,0.0
2016-06-16,80,63,0.0,0.0,0.0
2016-06-17,86,66,0.005,0.0,0.0
2016-06-18,89,70,0.0,0.0,0.0
2016-06-19,93,71,0.2,0.0,0.0
2016-06-20,80,65,0.0,0.0,0.0
2016-06-21,83,60,0.0,0.0,0.0
2016-06-22,83,63,0.47,0.0,0.0
2016-06-23,77,58,0.0,0.0,0.0
2016-06-24,82,60,0.0,0.0,0.0
2016-06-25,96,72,0.005,0.0,0.0
2016-06-26,88,67,0.0,0.0,0.0
2016-06-27,76,64,0.0,0.0,0.0
2016-06-28,77,58,0.0,0.0,0.0
2016-06-29,81,60,0.0,0.0,0.0
2016-06-30,79,61,0.1,0.0,0.0
2016-07-01,75,52,0.0,0.0,0.0
2016-07-02,79,60,0.0,0.0,0.0
2016-07-03,80,62,0.0,0.0,0.0
2016-07-04,80,61,0.0,0.0,0.0
2016-07-05,90,66,1.21,0.0,0.0
2016-07-06,88,66,0.0,0.0,0.0
2016-07-07,85,69,0.07,0.0,0.0
2016-07-08,80,66,0.0,0.0,0.0
2016-07-09,82,63,0.0,0.0,0.0
2016-07-10,82,66,0.4,0.0,0.0
2016-07-11,90,72,0.005,0.0,0.0
2016-07-12,86,71,0.08,0.0,0.0
2016-07-13,85,70,0.005,0.0,0.0
2016-07-14,71,62,0.12,0.0,0.0
2016-07-15,79,61,0.05,0.0,0.0
2016-07-16,81,62,0.2,0.0,0.0
2016-07-17,84,66,0.1,0.0,0.0
2016-07-18,88,67,0.0,0.0,0.0
2016-07-19,87,68,0.0,0.0,0.0
2016-07-20,93,72,0.05,0.0,0.0
2016-07-21,95,71,0.16,0.0,0.0
2016-07-22,97,74,0.0,0.0,0.0
2016-07-23,82,71,2.17,0.0,0.0
2016-07-24,85,72,0.005,0.0,0.0
2016-07-25,87,67,0.0,0.0,0.0
2016-07-26,91,72,0.0,0.0,0.0
2016-07-27,80,68,0.48,0.0,0.0
2016-07-28,77,65,0.0,0.0,0.0
2016-07-29,79,61,0.0,0.0,0.0
2016-07-30,81,67,0.005,0.0,0.0
2016-07-31,84,67,0.0,0.0,0.0
2016-08-01,85,70,0.0,0.0,0.0
2016-08-02,88,73,0.0,0.0,0.0
2016-08-03,91,74,0.0,0.0,0.0
2016-08-04,85,70,1.13,0.0,0.0
2016-08-05,79,64,0.0,0.0,0.0
2016-08-06,82,62,0.0,0.0,0.0
2016-08-07,82,63,0.0,0.0,0.0
2016-08-08,83,65,0.0,0.0,0.0
2016-08-09,87,69,0.0,0.0,0.0
2016-08-10,91,69,1.53,0.0,0.0
2016-08-11,84,69,1.11,0.0,0.0
2016-08-12,82,68,0.33,0.0,0.0
2016-08-13,81,65,0.0,0.0,0.0
2016-08-14,83,63,0.0,0.0,0.0
2016-08-15,82,64,0.0,0.0,0.0
2016-08-16,86,67,0.2,0.0,0.0
2016-08-17,86,64,0.0,0.0,0.0
2016-08-18,85,68,0.005,0.0,0.0
2016-08-19,79,65,0.44,0.0,0.0
2016-08-20,68,58,0.38,0.0,0.0
2016-08-21,74,56,0.0,0.0,0.0
2016-08-22,83,59,0.0,0.0,0.0
2016-08-23,84,67,1.01,0.0,0.0
2016-08-24,82,66,0.07,0.0,0.0
2016-08-25,74,61,0.0,0.0,0.0
2016-08-26,72,57,0.0,0.0,0.0
2016-08-27,69,63,0.01,0.0,0.0
2016-08-28,85,61,0.0,0.0,0.0
2016-08-29,86,67,1.27,0.0,0.0
2016-08-30,81,64,0.34,0.0,0.0
2016-08-31,80,58,0.0,0.0,0.0
2016-09-01,77,60,0.0,0.0,0.0
2016-09-02,76,57,0.0,0.0,0.0
2016-09-03,76,59,0.0,0.0,0.0
2016-09-04,79,60,0.02,0.0,0.0
2016-09-05,81,67,0.51,0.0,0.0
2016-09-06,81,71,0.88,0.0,0.0
2016-09-07,77,68,0.02,0.0,0.0
2016-09-08,78,62,0.005,0.0,0.0
2016-09-09,74,62,0.23,0.0,0.0
2016-09-10,72,57,0.005,0.0,0.0
2016-09-11,80,57,0.0,0.0,0.0
2016-09-12,81,62,0.0,0.0,0.0
2016-09-13,66,56,0.005,0.0,0.0
2016-09-14,70,47,0.0,0.0,0.0
2016-09-15,76,57,0.85,0.0,0.0
2016-09-16,76,63,0.06,0.0,0.0
2016-09-17,72,59,0.0,0.0,0.0
2016-09-18,84,54,0.0,0.0,0.0
2016-09-19,79,61,0.01,0.0,0.0
2016-09-20,79,57,0.03,0.0,0.0
2016-09-21,73,65,1.88,0.005,0.0
2016-09-22,73,61,0.08,0.0,0.0
2016-09-23,71,60,0.63,0.0,0.0
2016-09-24,73,63,0.0,0.0,0.0
2016-09-25,69,55,0.23,0.0,0.0
2016-09-26,66,51,0.0,0.0,0.0
2016-09-27,60,49,0.04,0.0,0.0
2016-09-28,62,50,0.0,0.0,0.0
2016-09-29,68,46,0.0,0.0,0.0
2016-09-30,71,50,0.0,0.0,0.0
2016-10-01,74,52,0.0,0.0,0.0
2016-10-02,76,51,0.0,0.0,0.0
2016-10-03,76,53,0.0,0.0,0.0
2016-10-04,76,58,0.13,0.0,0.0
2016-10-05,65,56,0.6,0.0,0.0
2016-10-06,62,44,1.01,0.0,0.0
2016-10-07,49,38,0.04,0.0,0.0
2016-10-08,52,36,0.0,0.0,0.0
2016-10-09,60,36,0.0,0.0,0.0
2016-10-10,74,49,0.0,0.0,0.0
2016-10-11,72,49,0.005,0.0,0.0
2016-10-12,50,41,0.01,0.0,0.0
2016-10-13,54,37,0.0,0.0,0.0
2016-10-14,63,43,0.0,0.0,0.0
2016-10-15,69,51,0.005,0.0,0.0
2016-10-16,69,44,0.01,0.0,0.0
2016-10-17,72,54,0.65,0.0,0.0
2016-10-18,66,51,0.01,0.0,0.0
2016-10-19,56,43,0.0,0.0,0.0
2016-10-20,52,38,0.0,0.0,0.0
2016-10-21,54,39,0.0,0.0,0.0
2016-10-22,64,39,0.0,0.0,0.0
2016-10-23,56,44,0.0,0.0,0.0
2016-10-24,56,36,0.0,0.0,0.0
2016-10-25,52,42,0.56,0.0,0.0
2016-10-26,46,43,0.33,0.0,0.0
2016-10-27,49,42,0.0,0.0,0.0
2016-10-28,72,46,0.0,0.0,0.0
2016-10-29,56,46,0.06,0.0,0.0
